iter	Passed	Remaining
742	25308	8753
743	25343	8720
744	25378	8686
745	25412	8652
746	25447	8618
747	25480	8584
748	25514	8550
749	25546	8515
750	25581	8481
751	25616	8448
752	25650	8414
753	25683	8379
754	25719	8345
755	25752	8311
756	25787	8277
757	25821	8243
758	25855	8209
759	25888	8175
760	25923	8141
761	25958	8107
762	25992	8073
763	26026	8039
764	26059	8005
765	26093	7971
766	26127	7937
767	26162	7903
768	26193	7868
769	26226	7833
770	26261	7800
771	26295	7766
772	26331	7732
773	26367	7699
774	26402	7665
775	26436	7631
776	26469	7596
777	26504	7562
778	26538	7528
779	26570	7494
780	26605	7460
781	26638	7426
782	26673	7392
783	26705	7357
784	26739	7323
785	26773	7289
786	26808	7255
787	26841	7221
788	26875	7187
789	26907	7152
790	26941	7118
791	26976	7084
792	27012	7051
793	27046	7017
794	27083	6983
795	27117	6949
796	27152	6915
797	27186	6881
798	27218	6847
799	27252	6813
800	27286	6779
801	27321	6745
802	27358	6711
803	27393	6678
804	27426	6643
805	27462	6609
806	27495	6575
807	27529	6541
808	27563	6507
809	27597	6473
810	27631	6439
811	27666	6405
812	27700	6371
813	27735	6337
814	27768	6303
815	27804	6269
816	27837	6235
817	27872	6201
818	27908	6167
819	27941	6133
820	27974	6099
821	28008	6065
822	28040	6030
823	28075	5996
824	28111	5962
825	28145	5928
826	28181	5895
827	28216	5861
828	28252	5827
829	28287	5793
830	28323	5760
831	28359	5726
832	28394	5692
833	28428	5658
834	28462	5624
835	28496	5590
836	28530	5556
837	28565	5522
838	28600	5488
839	28634	5454
840	28667	5419
841	28701	5385
842	28734	5351
843	28768	5317
844	28801	5283
845	28835	5249
846	28869	5214
847	28903	5180
848	28938	5146
849	28972	5112
850	29004	5078
851	29038	5044
852	29071	5009
853	29105	4975
854	29143	4942
855	29177	4908
856	29210	4874
857	29244	4840
858	29277	4805
859	29312	4771
860	29349	4738
861	29387	4704
862	29422	4670
863	29457	4636
864	29491	4602
865	29526	4568
866	29560	4534
867	29595	4500
868	29628	4466
869	29662	4432
870	29697	4398
871	29730	4364
872	29764	4329
873	29797	4295
874	29829	4261
875	29863	4227
876	29898	4193
877	29931	4159
878	29966	4125
879	29999	4090
880	30033	4056
881	30066	4022
882	30101	3988
883	30134	3954
884	30168	3920
885	30202	3886
886	30234	3851
887	30269	3817
888	30305	3783
889	30344	3750
890	30379	3716
891	30416	3682
892	30450	3648
893	30486	3614
894	30520	3580
895	30554	3546
896	30587	3512
897	30621	3478
898	30654	3443
899	30687	3409
900	30722	3375
901	30755	3341
902	30788	3307
903	30821	3273
904	30854	3238
905	30887	3204
906	30921	3170
907	30955	3136
908	30988	3102
909	31023	3068
910	31057	3034
911	31091	3000
912	31125	2965
913	31158	2931
914	31191	2897
915	31225	2863
916	31260	2829
917	31293	2795
918	31328	2761
919	31344	2725
920	31378	2691
921	31411	2657
922	31447	2623
923	31484	2589
924	31519	2555
925	31552	2521
926	31587	2487
927	31621	2453
928	31655	2419
929	31690	2385
930	31725	2351
931	31761	2317
932	31795	2283
933	31829	2249
934	31864	2215
935	31897	2181
936	31932	2146
937	31965	2112
938	31999	2078
939	32032	2044
940	32066	2010
941	32101	1976
942	32134	1942
943	32167	1908
944	32200	1874
945	32234	1840
946	32267	1805
947	32302	1771
948	32338	1737
949	32371	1703
950	32405	1669
951	32437	1635
952	32469	1601
953	32504	1567
954	32539	1533
955	32577	1499
956	32611	1465
957	32646	1431
958	32681	1397
959	32716	1363
960	32749	1329
961	32782	1294
962	32816	1260
963	32849	1226
964	32881	1192
965	32915	1158
966	32949	1124
967	32982	1090
968	33017	1056
969	33051	1022
970	33084	988
971	33119	954
972	33153	919
973	33187	885
974	33221	851
975	33255	817
976	33289	783
977	33325	749
978	33358	715
979	33393	681
980	33425	647
981	33460	613
982	33493	579
983	33526	545
984	33560	511
985	33596	477
986	33631	442
987	33667	408
988	33702	374
989	33735	340
990	33769	306
991	33802	272
992	33835	238
993	33867	204
994	33901	170
995	33935	136
996	33967	102
997	34002	68
998	34035	34
999	34068	0
